ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
16000
ITEM: BOX BOUNDS pp pp pp
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
0.0000000000000000e+00 6.8000000000000000e+01
ITEM: ATOMS id x y z
278 1.67169 22.0671 62.8709
279 0.0484759 20.4236 64.5661
280 1.74718 22.0721 66.2913
281 67.971 23.7472 0.01652
282 1.64727 25.5 1.6798
283 67.9149 23.7629 3.39365
284 1.67793 25.4651 5.10423
285 67.996 23.7101 6.75353
286 1.65786 25.4957 8.51288
287 0.00953506 23.7457 10.1865
288 1.70704 25.4896 11.8534
289 67.9982 23.7743 13.5964
290 1.62676 25.5229 15.2677
291 67.9729 23.8332 16.9538
292 1.70188 25.5324 18.6652
293 67.9651 23.8611 20.4599
294 1.67827 25.4849 22.1411
295 67.9603 23.777 23.9246
296 1.68189 25.4603 25.5856
297 67.9204 23.6633 27.1317
298 1.6258 25.4737 28.9057
299 67.9239 23.7017 30.5647
300 1.68999 25.4396 32.2694
301 67.8989 23.7672 33.9521
302 1.55299 25.4176 35.6761
303 67.8704 23.7824 37.4993
304 1.52869 25.4515 39.2121
305 67.8715 23.8393 40.8407
306 1.65729 25.475 42.4618
307 67.9204 23.7767 44.1782
308 1.72527 25.5441 45.9372
309 67.9819 23.8094 47.557
310 1.67036 25.5412 49.2829
311 0.0112862 23.7352 51.0726
312 1.77192 25.5705 52.6689
313 67.9962 23.8032 54.4345
314 1.79925 25.5752 56.1654
315 67.9668 23.7455 57.7825
316 1.70081 25.5144 59.4537
317 67.9584 23.8276 61.1743
318 1.59587 25.5187 62.9084
319 0.00512347 23.7992 64.6104
320 1.64278 25.4792 66.2887
321 67.9622 27.2283 67.8922
322 1.67154 28.876 1.69218
323 67.9555 27.2111 3.38499
324 1.6912 28.9022 5.06633
325 67.9989 27.2608 6.8162
326 1.69297 28.953 8.49818
327 0.0138501 27.3027 10.1987
328 1.72205 28.9151 11.8834
329 67.9692 27.2836 13.4786
330 1.68124 28.9462 15.2998
331 67.9283 27.3027 17.0658
332 1.70455 28.9798 18.767
333 67.9851 27.2424 20.4729
334 1.66465 29.0469 22.0291
335 0.0646756 27.2634 23.7714
336 1.68401 28.9631 25.5896
337 0.00305016 27.2484 27.1349
338 1.63983 28.9019 28.845
339 67.9831 27.1835 30.6186
340 1.69752 28.8025 32.3293
341 67.8345 27.1494 33.9863
342 1.64185 28.7825 35.7268
343 67.9437 27.1497 37.4571
344 1.68992 28.8601 39.1015
345 67.9871 27.1486 40.827
346 1.7046 28.8693 42.5195
347 67.9362 27.1219 44.1994
348 1.67665 28.8475 45.8482
349 67.8906 27.2659 47.5689
350 1.63505 28.8786 49.2208
351 67.9981 27.2941 51.0155
352 1.73855 28.8759 52.7877
353 0.00521325 27.1731 54.4338
354 1.68504 28.8697 56.1486
355 0.00279172 27.1117 57.7348
356 1.66381 28.8406 59.4677
357 67.9369 27.1424 61.2097
358 1.63743 28.8753 62.8419
359 67.9924 27.1775 64.6222
360 1.60723 28.9299 66.2604
361 67.9455 30.6093 0.0415341
362 1.67453 32.3127 1.62263
363 0.0229002 30.6903 3.3742
364 1.74125 32.3504 5.18979
365 0.0109912 30.626 6.82428
366 1.6975 32.331 8.52998
367 0.0160209 30.5803 10.1854
368 1.75001 32.3681 11.8367
369 67.9684 30.6229 13.5558
370 1.73487 32.3157 15.2461
371 67.9259 30.6637 17.0171
372 1.72423 32.3063 18.7709
373 67.945 30.6633 20.4428
374 1.73213 32.3346 22.0711
375 0.0129305 30.6439 23.7751
376 1.6874 32.3546 25.4661
377 67.9782 30.6317 27.1798
378 1.71568 32.3356 28.8792
379 0.000541385 30.6518 30.5848
380 1.68956 32.4403 32.2963
381 0.0123096 30.6241 33.9951
